artefact,name,type,applicability,status,path,stage
"Matched-length null, per-event variant",matched_length_null_by_event,machine-readable records,applicable,AVAILABLE,results\f1_cross_register_run\tables\matched_length_null_event.csv,14
"Matched-length null, contiguous variant",matched_length_null_contiguous_variant,machine-readable records,applicable,AVAILABLE,results\f1_cross_register_run\tables\matched_length_null_contiguous.csv,14
Per-event matched-length null intervals,matched_length_null_intervals,machine-readable records,applicable,AVAILABLE,results\f1_cross_register_run\tables\matched_length_null_summary.csv,14
Per-category effects summarised over events,per_category_composition_effects,table,applicable,AVAILABLE,results\f1_cross_register_run\tables\paired_category_effects.csv,14
per_category_diagnostic_detail,per_category_diagnostic_detail,table,applicable,AVAILABLE,results\f1_run\tables\per_category_diagnostic_detail.csv,14
Per category and replicate: best-overlap value and the cluster that achieved it,resampling_category_records,machine-readable records,applicable,AVAILABLE,results\f1_run\tables\robustness\resampling_category_records.csv,14
Per-category stability over the viable replicates,resampling_category_summary,table,applicable,AVAILABLE,results\f1_run\tables\robustness\resampling_category_summary.csv,14
"One row per resampling replicate: recovered clusters, unclustered fraction, degeneracy",resampling_run_records,machine-readable records,applicable,AVAILABLE,results\f1_run\tables\robustness\resampling_run_records.csv,14
resampling_stability_per_category,resampling_stability_per_category,table,applicable,AVAILABLE,results\f1_run\tables\resampling_stability_per_category.csv,14
Second-register cluster inventory,secondary_register_clusters,table,applicable,AVAILABLE,results\f1_cross_register_run\tables\second_register_clusters.csv,14
Second-corpus granularity sweep,secondary_register_granularity_sweep,table,applicable,AVAILABLE,results\f1_cross_register_run\tables\second_register_granularity_sweep.csv,14
Second-register reconstruction summary,secondary_register_reconstruction_summary,table,applicable,AVAILABLE,results\f1_cross_register_run\tables\secondary_register_reconstruction_summary.csv,14
Second-register seed stability,secondary_register_seed_stability,table,applicable,AVAILABLE,results\f1_cross_register_run\tables\second_register_seed_stability.csv,14
"Each primary-domain category dropped in turn, all four representations",systematic_leave_one_strategy_category_out,table,applicable,AVAILABLE,results\f1_run\tables\robustness\systematic_leave_one_strategy_category_out.csv,14
Availability against best-match similarity,category_availability_vs_correspondence,figure,applicable,AVAILABLE,results\f1_cross_register_run\figures\category_availability_vs_correspondence.png,15
"Per-category diagnostic profile, shared scale",category_diagnostic_profiles,figure,applicable,AVAILABLE,results\f1_run\figures\category_diagnostic_profiles.png,15
Cross-register centroid similarity structure,cross_register_similarity_structure,figure,applicable,AVAILABLE,results\f1_cross_register_run\figures\cross_register_similarity_structure.png,15
Distribution of each diagnostic dimension,diagnostic_dimension_distributions,figure,applicable,AVAILABLE,results\f1_run\figures\diagnostic_dimension_distributions.png,15
Domain-level compositional differences,domain_composition_differences,figure,applicable,AVAILABLE,results\f1_cross_register_run\figures\domain_composition_differences.png,15
"Domain share by matched event, both registers",matched_event_domain_share,figure,applicable,AVAILABLE,results\f1_cross_register_run\figures\matched_event_domain_share.png,15
Observed differences against their own nulls,matched_length_null_envelopes,figure,applicable,AVAILABLE,results\f1_cross_register_run\figures\matched_length_null_envelopes.png,15
Per-category compositional effects,per_category_composition_effects,figure,applicable,AVAILABLE,results\f1_cross_register_run\figures\per_category_composition_effects.png,15
Primary-corpus granularity selection,primary_granularity_selection,figure,applicable,AVAILABLE,results\f1_run\figures\primary_granularity_selection.png,15
"Thematic structure, descriptive projection",primary_thematic_structure,figure,applicable,AVAILABLE,results\f1_run\figures\primary_thematic_structure.png,15
Second-corpus granularity selection,secondary_granularity_selection,figure,applicable,AVAILABLE,results\f1_cross_register_run\figures\secondary_granularity_selection.png,15
