pair_id,event_id,register,threshold,n_total,n_assigned,n_unassigned,coverage,unassigned_rate
P02,2023_Qatar_GP,HIGHLIGHT,0.4,50,49,1,0.98,0.02
P02,2023_Qatar_GP,FULL_RACE,0.4,1336,954,382,0.7140718562874252,0.28592814371257486
P03,2023_Singapore_GP,HIGHLIGHT,0.4,60,60,0,1.0,0.0
P03,2023_Singapore_GP,FULL_RACE,0.4,1635,1313,322,0.8030581039755351,0.19694189602446482
P04,2024_Bahrain_GP,HIGHLIGHT,0.4,72,68,4,0.9444444444444444,0.05555555555555555
P04,2024_Bahrain_GP,FULL_RACE,0.4,1322,949,373,0.7178517397881997,0.2821482602118003
P05,2024_SaoPaulo_GP,HIGHLIGHT,0.4,96,87,9,0.90625,0.09375
P05,2024_SaoPaulo_GP,FULL_RACE,0.4,1905,1421,484,0.7459317585301837,0.25406824146981627
P06,2024_Italy_GP,HIGHLIGHT,0.4,69,67,2,0.9710144927536232,0.028985507246376812
P06,2024_Italy_GP,FULL_RACE,0.4,1458,1101,357,0.7551440329218106,0.2448559670781893
P07,2024_LasVegas_GP,HIGHLIGHT,0.4,105,89,16,0.8476190476190476,0.1523809523809524
P07,2024_LasVegas_GP,FULL_RACE,0.4,1344,1033,311,0.7686011904761905,0.23139880952380953
P08,2024_Qatar_GP,HIGHLIGHT,0.4,55,54,1,0.9818181818181818,0.01818181818181818
P08,2024_Qatar_GP,FULL_RACE,0.4,1631,1225,406,0.7510729613733905,0.24892703862660945
P09,2025_Belgium_GP,HIGHLIGHT,0.4,65,62,3,0.9538461538461539,0.046153846153846156
P09,2025_Belgium_GP,FULL_RACE,0.4,2232,1612,620,0.7222222222222222,0.2777777777777778
P10,2025_Japan_GP,HIGHLIGHT,0.4,81,74,7,0.9135802469135802,0.08641975308641975
P10,2025_Japan_GP,FULL_RACE,0.4,1547,1175,372,0.7595345830639948,0.24046541693600518
P01,2023_Australia_GP,HIGHLIGHT,0.45,68,65,3,0.9558823529411765,0.04411764705882353
P01,2023_Australia_GP,FULL_RACE,0.45,2466,1608,858,0.6520681265206812,0.34793187347931875
P02,2023_Qatar_GP,HIGHLIGHT,0.45,50,47,3,0.94,0.06
P02,2023_Qatar_GP,FULL_RACE,0.45,1336,848,488,0.6347305389221557,0.3652694610778443
P03,2023_Singapore_GP,HIGHLIGHT,0.45,60,59,1,0.9833333333333333,0.016666666666666666
P03,2023_Singapore_GP,FULL_RACE,0.45,1635,1229,406,0.7516819571865443,0.24831804281345565
P04,2024_Bahrain_GP,HIGHLIGHT,0.45,72,65,7,0.9027777777777778,0.09722222222222222
P04,2024_Bahrain_GP,FULL_RACE,0.45,1322,837,485,0.6331316187594553,0.3668683812405446
P05,2024_SaoPaulo_GP,HIGHLIGHT,0.45,96,85,11,0.8854166666666666,0.11458333333333333
P05,2024_SaoPaulo_GP,FULL_RACE,0.45,1905,1298,607,0.6813648293963255,0.3186351706036745
P06,2024_Italy_GP,HIGHLIGHT,0.45,69,63,6,0.9130434782608695,0.08695652173913043
P06,2024_Italy_GP,FULL_RACE,0.45,1458,1000,458,0.6858710562414266,0.31412894375857336
P07,2024_LasVegas_GP,HIGHLIGHT,0.45,105,84,21,0.8,0.2
P07,2024_LasVegas_GP,FULL_RACE,0.45,1344,938,406,0.6979166666666666,0.3020833333333333
P08,2024_Qatar_GP,HIGHLIGHT,0.45,55,52,3,0.9454545454545454,0.05454545454545454
P08,2024_Qatar_GP,FULL_RACE,0.45,1631,1106,525,0.6781115879828327,0.3218884120171674
P09,2025_Belgium_GP,HIGHLIGHT,0.45,65,60,5,0.9230769230769231,0.07692307692307693
P09,2025_Belgium_GP,FULL_RACE,0.45,2232,1417,815,0.6348566308243727,0.36514336917562723
P10,2025_Japan_GP,HIGHLIGHT,0.45,81,70,11,0.8641975308641975,0.13580246913580246
P10,2025_Japan_GP,FULL_RACE,0.45,1547,1061,486,0.6858435681965094,0.3141564318034906
