cluster_id,thematic_label,domain,size,mp_agree,mp_class,mp_jaccard,bs_jaccard,bs_class,rep_n_train,rep_dir,rep_strict,npmi,r3_enriched,r3_top_terms,mean_defects,pct_clean,mp_pass,bs_pass,rep_pass,n_axes_passed
1,Time penalties,Regulatory,118,7,ROBUST,0.8566666666666668,0.965570285193992,highly_stable,12.0,0.9166666666666666,0.8333333333333334,0.313834570419722,28,"penalty, time penalty, second penalty, second time, causing, collision, causing collision, second, given second, forcing, unsafe release, unsafe, leaving, got second, gaining advantage",0.24,77.12,True,True,True,3
14,Pit stops,Strategy & technical,185,7,ROBUST,0.7595,0.775811887545082,highly_stable,8.0,0.75,0.625,0.0939344193568635,35,"pit, pit stop, lane, pit lane, stop, pits, person pits, team pit, high pressure, slow pit, second pit, fast lane, pit person, pit crew, pitted",0.23,77.3,True,True,True,3
13,Championship & title,Narrative & meta,158,6,ROBUST,0.4815,0.6931098099877998,stable,16.0,0.75,0.5,0.1921024649411092,33,"championship, world, world championship, champion, constructors, world champion, title, time world, trophy, championship leader, championship battle, constructors championship, world title, seven time, champion person",0.17,82.91,True,True,True,3
8,Race control flags,Regulatory,118,5,ROBUST,0.345,0.7719835320911608,highly_stable,20.0,0.95,0.65,0.1672294918231453,30,"flag, checkered, checkered flag, yellow, yellow flag, chequered, chequered flag, green, green flag, flag flies, red flag, flies, fly, red, got yellow",0.19,80.51,True,True,True,3
12,Podium finishes,Narrative & meta,139,6,ROBUST,0.5863333333333334,0.8263737653868771,highly_stable,11.0,0.8181818181818182,0.4545454545454545,0.1249221932528569,30,"podium, podium places, home, completes, podium place, podium finish, comes home, person completes, finish, come home, podium person, seventh podium, career podium, step, rostrum",0.14,86.33,True,True,True,3
9,Formula 1 milestones,Narrative & meta,134,5,ROBUST,0.5873333333333334,0.7971585539612664,highly_stable,6.0,1.0,0.8333333333333334,0.194752715346094,30,"formula, formula world, podium formula, time formula, formula career, formula podium, formula person, welcome, best formula, formula champion, podium, world championship, formula returns, returns, personal",0.34,71.64,True,True,True,3
19,Race lead holding,Race dynamics,115,5,ROBUST,0.3996666666666666,0.6939100333890857,stable,6.0,0.5,0.5,0.0835105985935391,16,"person leads, leads, lead, leads person, lead person, person holds, maintains, person, holds, second person, person maintains, person second, maintain, person person, comes person",0.09,91.3,True,True,False,2
31,Race leader changes,Race dynamics,162,6,ROBUST,0.4658333333333333,0.6351457992541313,stable,5.0,0.6,0.6,0.0519435621721162,14,"race, race person, lead, race leader, leader, person race, race lead, review, race control, race far, net, leader person, control, person takes",0.25,75.31,True,True,False,2
7,Race start lights,Race dynamics,36,4,ROBUST,0.2848333333333333,0.0411369116750484,unstable,7.0,0.8571428571428571,0.5714285714285714,0.2569836628759199,27,"lights, red lights, lights time, prix underway, underway, lights away, lights place, begins, red, away formula, racing place, green flag, formula goes, goes racing, grand prix",0.14,86.11,True,False,True,2
16,Safety car deployment,Regulatory,122,7,ROBUST,0.649,0.6887250344549645,stable,10.0,0.5,0.4,0.2195827478019193,28,"safety, safety car, car, virtual, virtual safety, deployed, car deployed, lapped cars, car ending, ending, car coming, impact, lapped, allowed overtake, need safety",0.25,75.41,True,True,False,2
33,Field position changes,Race dynamics,122,5,ROBUST,0.306,0.5099163827575338,borderline,11.0,0.9090909090909092,0.7272727272727273,0.1555922855624213,16,"seventh, sixth, sixth place, seventh place, eighth, fifth, person seventh, sixth position, fifth place, eighth person, position, person ninth, place, person sixth, ninth",0.09,90.98,True,False,True,2
30,Lap pace & timing,Strategy & technical,136,5,ROBUST,0.4773333333333333,0.6970114928602408,stable,6.0,0.6666666666666666,0.6666666666666666,0.0677737490506971,21,"lap, fastest lap, fastest, previous lap, previous, opening lap, opening, lap person, place lap, lap time, lap number, quicker, middle sector, seconds away, middle",0.26,75.74,True,True,False,2
3,Mirror checks defending,Race dynamics,47,5,ROBUST,0.5625,0.5322123829980098,borderline,8.0,0.875,0.75,0.1659258450888511,21,"mirrors, mirror, checking, checks, scarlet, scarlet team, left mirror, hand mirror, person checks, mirrors person, having look, person checking, doesn need, person closer, left",0.21,80.85,True,False,True,2
20,Wing & car damage,Strategy & technical,61,6,ROBUST,0.601,0.6258319845674472,stable,11.0,0.6363636363636364,0.4545454545454545,0.190257356526306,22,"front wing, wing, damaged, damage, puncture, bit contact, got puncture, ripped, got damage, wing endplate, endplate, rear wing, broken, rear, contact",0.25,80.33,True,True,False,2
11,Team radio celebrations,Narrative & meta,55,3,PARTIAL,0.2916666666666667,0.6402543557262289,stable,18.0,0.9444444444444444,0.7777777777777778,0.3293686066163662,37,"thank, mate, job, guys, weekend, fantastic, awesome, amazing, unbelievable, good job, thanks, deserve, job guys, really really, great job",0.29,78.18,False,True,True,2
25,Driver & team references,Narrative & meta,69,1,FRAGILE,0.0765,0.4718212959931907,unstable,7.0,0.8571428571428571,0.5714285714285714,0.0924720429021741,11,"driver, nation driver, nation, team driver, drivers, driver getting, drivers person, driver person, team drivers, contract, team",0.16,85.51,False,False,True,1
4,Race start launch,Race dynamics,42,6,ROBUST,0.4938333333333334,0.357595770445965,unstable,6.0,0.5,0.5,0.1541139319218093,15,"launch, good launch, line, got good, pole sitter, sitter, reaction time, initial, great launch, chop, chops, good, reaction, person got, got",0.14,85.71,True,False,False,1
5,Weather conditions,Strategy & technical,43,4,ROBUST,0.26,0.0748849391443725,unstable,7.0,0.5714285714285714,0.4285714285714285,0.2340772550934506,13,"rain, minutes, rain coming, rain falling, wet, falling, light, extraordinary, expected, temperature, track, laps, going",0.33,69.77,True,False,False,1
21,Braking & lockups,Race dynamics,128,3,PARTIAL,0.2406666666666666,0.5793012119801995,borderline,8.0,0.75,0.75,0.1053811785725715,17,"braking, brakes, braking zone, zone, brake, brake pedal, late braking, pedal, late, curb, super late, locking, braking person, lock, laid",0.39,65.62,False,False,True,1
17,Gap & pace,Strategy & technical,67,3,PARTIAL,0.2596666666666666,0.4609585682791801,unstable,14.0,0.6428571428571429,0.2857142857142857,0.2093783499866831,14,"seconds, gap, tenths, hour, tenths second, seconds person, miles, half, half seconds, miles hour, extra, pace, person seconds, second",0.1,89.55,False,False,False,0
24,Inter-car distance,Strategy & technical,60,2,PARTIAL,0.1451666666666666,0.4112717011382784,unstable,9.0,0.6666666666666666,0.4444444444444444,0.0753231560687075,17,"car length, length, car, lengths, car lengths, width, cars, length ahead, couple car, floor, car width, got car, flat, car ahead, given person",0.2,80.0,False,False,False,0
29,Corner specific moves,Race dynamics,60,1,FRAGILE,0.0468333333333333,0.4453053682127489,unstable,3.0,0.6666666666666666,0.3333333333333333,0.0988546991639432,7,"turn, turn seven, turn person, seven, stick, going try, heading",0.18,81.67,False,False,False,0
32,Front position changes,Race dynamics,45,1,FRAGILE,0.096,0.2408531945621324,unstable,,,,0.0996072294537151,7,"fourth, fourth place, position, fourth position, place, second, second place",0.09,91.11,False,False,False,0
