artefact,name,type,applicability,status,path,stage
Category null thresholds and empirical p-values,cross_register_null_thresholds,table,no second commentary register was supplied,NOT_APPLICABLE,,14
Primary category by second-register similarity,cross_register_similarity_matrix,matrix,no second commentary register was supplied,NOT_APPLICABLE,,14
exact_matched_event_comparison,exact_matched_event_comparison,table,no second commentary register was supplied,NOT_APPLICABLE,,14
"Boundary categories moved to the comparison domain; exploratory, not pre-specified",exploratory_boundary_reassignment,table,no second commentary register was supplied,NOT_APPLICABLE,,14
Paired difference between embedding realisations at each granularity,heldout_embedding_sensitivity,table,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
How often each category replicates across viable splits,heldout_factorial_category_summary,table,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
Replicated-category spread per realisation and training granularity,heldout_factorial_cell_summary,table,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
Degenerate-run counts and the aligned-category range per cell,heldout_factorial_degeneracy_summary,table,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
"One row per factorial run: split, realisation, granularity, degeneracy, replicated categories",heldout_factorial_run_records,machine-readable records,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
Paired difference between training granularities within each realisation,heldout_granularity_sensitivity,table,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
Where the reference split sits in its cell's distribution,heldout_reference_split_location,table,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
"Distance to the replication threshold, per category",heldout_threshold_margins,table,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
Leave-one-event-out results per category,leave_one_event_out,machine-readable records,no second commentary register was supplied,NOT_APPLICABLE,,14
"Per-event, per-category register differences",matched_event_category_differences,machine-readable records,no second commentary register was supplied,NOT_APPLICABLE,,14
"Per-event, per-register category shares",matched_event_category_shares,machine-readable records,no second commentary register was supplied,NOT_APPLICABLE,,14
Assignment coverage per event and register,matched_event_coverage,table,no second commentary register was supplied,NOT_APPLICABLE,,14
Matched-event pairing manifest,matched_event_manifest,table,no second commentary register was supplied,NOT_APPLICABLE,,14
"Matched-length null, per-event variant",matched_length_null_by_event,machine-readable records,no second commentary register was supplied,NOT_APPLICABLE,,14
"Matched-length null, contiguous variant",matched_length_null_contiguous_variant,machine-readable records,no second commentary register was supplied,NOT_APPLICABLE,,14
Per-event matched-length null intervals,matched_length_null_intervals,machine-readable records,no second commentary register was supplied,NOT_APPLICABLE,,14
Per-category effects summarised over events,per_category_composition_effects,table,no second commentary register was supplied,NOT_APPLICABLE,,14
Per category and replicate: best-overlap value and the cluster that achieved it,resampling_category_records,machine-readable records,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
Per-category stability over the viable replicates,resampling_category_summary,table,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
"One row per resampling replicate: recovered clusters, unclustered fraction, degeneracy",resampling_run_records,machine-readable records,this experiment is defined on the frozen highlight realisations and is not transferable to another corpus,NOT_APPLICABLE,,14
Second-register cluster inventory,secondary_register_clusters,table,no second commentary register was supplied,NOT_APPLICABLE,,14
Second-corpus granularity sweep,secondary_register_granularity_sweep,table,no second commentary register was supplied,NOT_APPLICABLE,,14
Second-register reconstruction summary,secondary_register_reconstruction_summary,table,no second commentary register was supplied,NOT_APPLICABLE,,14
Second-register seed stability,secondary_register_seed_stability,table,no second commentary register was supplied,NOT_APPLICABLE,,14
"Each primary-domain category dropped in turn, all four representations",systematic_leave_one_strategy_category_out,table,no second commentary register was supplied,NOT_APPLICABLE,,14
"Per-category diagnostic profile, shared scale",category_diagnostic_profiles,figure,applicable,AVAILABLE,results\iracing\figures\category_diagnostic_profiles.png,15
Distribution of each diagnostic dimension,diagnostic_dimension_distributions,figure,applicable,AVAILABLE,results\iracing\figures\diagnostic_dimension_distributions.png,15
Primary-corpus granularity selection,primary_granularity_selection,figure,applicable,AVAILABLE,results\iracing\figures\primary_granularity_selection.png,15
"Thematic structure, descriptive projection",primary_thematic_structure,figure,applicable,AVAILABLE,results\iracing\figures\primary_thematic_structure.png,15
Availability against best-match similarity,category_availability_vs_correspondence,figure,no second commentary register was supplied,NOT_APPLICABLE,,15
Cross-register centroid similarity structure,cross_register_similarity_structure,figure,no second commentary register was supplied,NOT_APPLICABLE,,15
Domain-level compositional differences,domain_composition_differences,figure,no second commentary register was supplied,NOT_APPLICABLE,,15
"Domain share by matched event, both registers",matched_event_domain_share,figure,no second commentary register was supplied,NOT_APPLICABLE,,15
Observed differences against their own nulls,matched_length_null_envelopes,figure,no second commentary register was supplied,NOT_APPLICABLE,,15
Per-category compositional effects,per_category_composition_effects,figure,no second commentary register was supplied,NOT_APPLICABLE,,15
Second-corpus granularity selection,secondary_granularity_selection,figure,no second commentary register was supplied,NOT_APPLICABLE,,15
